Order	Coral_Species	Phylotype
355	Acropora glauca	C3u
356	Acropora glauca	C3u
357	Acropora glauca	C3u
358	Acropora glauca	C3u
359	Acropora glauca	C3u
360	Acropora glauca	C3u
361	Acropora glauca	C3z
362	Acropora glauca	C3z
363	Acropora glauca	C3z
364	Acropora glauca	C3z
365	Acropora grandis	A1
366	Acropora grandis	A1
367	Acropora grandis	A1.4
368	Acropora grandis	A1.4
369	Acropora grandis	A3
370	Acropora grandis	C1.12
371	Acropora grandis	C101
372	Acropora grandis	C101
373	Acropora grandis	C3
374	Acropora grandis	C3
375	Acropora grandis	C3
376	Acropora grandis	C3
377	Acropora horrida	C3z
378	Acropora horrida	C3z
379	Acropora humilis	A1
380	Acropora humilis	A1
381	Acropora humilis	A1
382	Acropora humilis	A1
383	Acropora humilis	C1
384	Acropora humilis	C1
385	Acropora humilis	C1
386	Acropora humilis	C1
387	Acropora humilis	C1
388	Acropora humilis	C1
389	Acropora humilis	C1
390	Acropora humilis	C1
391	Acropora humilis	C1
392	Acropora humilis	C1
393	Acropora humilis	C1
394	Acropora humilis	C1
395	Acropora humilis	C101
396	Acropora humilis	C101
397	Acropora humilis	C115
398	Acropora humilis	C1g
399	Acropora humilis	C1g
400	Acropora humilis	C1g
401	Acropora humilis	C1g
402	Acropora humilis	C1g
403	Acropora humilis	C1g
404	Acropora humilis	C27
405	Acropora humilis	C27
406	Acropora humilis	C27
407	Acropora humilis	C3
408	Acropora humilis	C3
409	Acropora humilis	C3
410	Acropora humilis	C3
411	Acropora humilis	C3
412	Acropora humilis	C3
413	Acropora humilis	C3
414	Acropora humilis	C3
415	Acropora humilis	C3
416	Acropora humilis	C3
417	Acropora humilis	C3
418	Acropora humilis	C3
419	Acropora humilis	C3
420	Acropora humilis	C3
421	Acropora humilis	C3
422	Acropora humilis	C3
423	Acropora humilis	C3
424	Acropora humilis	C3
425	Acropora humilis	C3
426	Acropora humilis	C3i
427	Acropora humilis	C3i
428	Acropora humilis	C3i
429	Acropora humilis	C3k
430	Acropora humilis	C3k
431	Acropora humilis	C3u
432	Acropora humilis	C3u
433	Acropora humilis	C3u
434	Acropora humilis	C3z
435	Acropora humilis	C3z
436	Acropora humilis	C3z
437	Acropora humilis	C3z
438	Acropora humilis	C3z
439	Acropora humilis	C3z
440	Acropora humilis	C3z
441	Acropora humilis	C3z
442	Acropora humilis	C3z
443	Acropora humilis	C3z
444	Acropora humilis	C3z
445	Acropora humilis	C3z
446	Acropora humilis	C3z
447	Acropora humilis	C3z
448	Acropora humilis	C3z
449	Acropora humilis	C3z
450	Acropora humilis	C3z
451	Acropora humilis	C3z
452	Acropora humilis	C3z
453	Acropora humilis	C3z
454	Acropora humilis	C3z
455	Acropora humilis	C3z
456	Acropora humilis	C3z
457	Acropora humilis	C3z
458	Acropora humilis	C94a
459	Acropora humilis	D1-4
460	Acropora hyacinthus	A1
461	Acropora hyacinthus	A1.4
462	Acropora hyacinthus	A3
463	Acropora hyacinthus	C1
464	Acropora hyacinthus	C1
465	Acropora hyacinthus	C1
466	Acropora hyacinthus	C101
